sent_type	struc	prime_type	verb	verb_num	sent_id	sentence	question	response
prime	amv	NA	recorded	1	recorded1	The priest recorded the mob and preached non-violence .
prime	amv	NA	recorded	2	recorded2	The management recorded the employee and talked-about privacy .
prime	amv	NA	recorded	3	recorded3	The dancer recorded his trainer and practiced energetically .
target	rrc	amv	recorded	4	recorded4	The influencer recorded
prime	rrc	NA	loved	1	loved1	The landlord loved by his tenants was considerate .
prime	rrc	NA	loved	2	loved2	The comedian loved by the audience impersonated a famous celebrity .
prime	rrc	NA	loved	3	loved3	The kid loved by her parents slept peacefully .
target	rrc	rrc	loved	4	loved4	The janitor loved
prime	rrc	NA	described	1	described1	The boy described by the lady glowed joyfully .
prime	rrc	NA	described	2	described2	The secretary described by the visitor waited patiently .
prime	rrc	NA	described	3	described3	The chemist described by the writer was interested .
target	rrc	rrc	described	4	described4	The physicist described
prime	prog_rrc	NA	examined	1	examined1	The defendant being examined by the lawyer was unreliable .
prime	prog_rrc	NA	examined	2	examined2	The engineer being examined by a licensor passed the test .
prime	prog_rrc	NA	examined	3	examined3	The industrialist being examined by the auditor hid the money .
target	rrc	prog_rrc	examined	4	examined4	The patient examined
prime	rrc	NA	envied	1	envied1	The officer envied by the assistant quit the job .
prime	rrc	NA	envied	2	envied2	The principal envied by the administration complained incessantly .
prime	rrc	NA	envied	3	envied3	The man envied by his sister bought a new car .
target	rrc	rrc	envied	4	envied4	The plumber envied
prime	rrc	NA	captured	1	captured1	The policeman captured by the kidnapper divulged a-lot-of information .
prime	rrc	NA	captured	2	captured2	The witch captured by the peasant cackled gleefully .
prime	rrc	NA	captured	3	captured3	The suspect captured by the investigator looked terrified .
target	rrc	rrc	captured	4	captured4	The prisoners captured
prime	rrc	NA	scratched	1	scratched1	The girl scratched by the cat enjoyed the sunny afternoon .
prime	rrc	NA	scratched	2	scratched2	The toddler scratched by the table exclaimed in-surprise .
prime	rrc	NA	scratched	3	scratched3	The dog scratched by a stranger barked loudly .
target	rrc	rrc	scratched	4	scratched4	The diamond scratched
prime	amv	NA	consoled	1	consoled1	The widow consoled her family and felt better eventually .
prime	amv	NA	consoled	2	consoled2	The teenager consoled the friend and went to her home sullenly .
prime	amv	NA	consoled	3	consoled3	The woman consoled her daughter and smiled wistfully .
target	rrc	amv	consoled	4	consoled4	The athlete consoled
prime	prog_rrc	NA	attacked	1	attacked1	The troops being attacked by the terrorists suffered some heavy losses .
prime	prog_rrc	NA	attacked	2	attacked2	The lion being attacked by the hunter staggered into the forest .
prime	prog_rrc	NA	attacked	3	attacked3	The senator being attacked by the assassin went to the hospital .
target	rrc	prog_rrc	attacked	4	attacked4	The analyst attacked
prime	urc	NA	paid	1	paid1	The cashier who was paid by the customer muttered something inaudibly .
prime	urc	NA	paid	2	paid2	The organization who was paid by the government expanded its mission .
prime	urc	NA	paid	3	paid3	The broker who was paid by the company signed the contract .
target	rrc	urc	paid	4	paid4	The entrepreneur paid
prime	amv	NA	accompanied	1	accompanied1	The prince accompanied the duke and arrived at the palace .
prime	amv	NA	accompanied	2	accompanied2	The children accompanied their guardian and skipped to the park .
prime	amv	NA	accompanied	3	accompanied3	The toddler accompanied her parents and went to the store .
target	rrc	amv	accompanied	4	accompanied4	The builder accompanied
prime	prog_rrc	NA	recognized	1	recognized1	The man being recognized by the spy took-off down the street .
prime	prog_rrc	NA	recognized	2	recognized2	The actor being recognized by the reporter waved enthusiastically .
prime	prog_rrc	NA	recognized	3	recognized3	The poet being recognized by the writer smiled .
target	rrc	prog_rrc	recognized	4	recognized4	The driver recognized
prime	urc	NA	chased	1	chased1	The dog who was chased by the boy played-with the ball .
prime	urc	NA	chased	2	chased2	The monkey who was chased by a hatter stole his hats .
prime	urc	NA	chased	3	chased3	The thief who was chased by the officer stopped suddenly .
target	rrc	urc	chased	4	chased4	The dentist chased
prime	amv	NA	studied	1	studied1	The soldier studied the general and fought valiantly .
prime	amv	NA	studied	2	studied2	The writer studied the scholar and wrote a radical book .
prime	amv	NA	studied	3	studied3	The apprentice studied the blacksmith and forged a shield .
target	rrc	amv	studied	4	studied4	The scholars studied
prime	amv	NA	betrayed	1	betrayed1	The politician betrayed the party and denied the allegations .
prime	amv	NA	betrayed	2	betrayed2	The king betrayed the genie and arrested the innocent woman .
prime	amv	NA	betrayed	3	betrayed3	The businessman betrayed his partner and lost a-lot-of money .
target	rrc	amv	betrayed	4	betrayed4	The executive betrayed
prime	prog_rrc	NA	challenged	1	challenged1	The protestors being challenged by the authority marched on the streets .
prime	prog_rrc	NA	challenged	2	challenged2	The scientist being challenged by the journalist demonstrated the invention .
prime	prog_rrc	NA	challenged	3	challenged3	The dragon being challenged by the wizard roared loudly .
target	rrc	prog_rrc	challenged	4	challenged4	The programmer challenged
prime	urc	NA	selected	1	selected1	The applicant who was selected by the company gained more information .
prime	urc	NA	selected	2	selected2	The professor who was selected by the university made plans-to-move .
prime	urc	NA	selected	3	selected3	The chef who was selected by the restaurant advertised his signature dish .
target	rrc	urc	selected	4	selected4	The developer selected
prime	prog_rrc	NA	congratulated	1	congratulated1	The captain being congratulated by the team jumped excitedly .
prime	prog_rrc	NA	congratulated	2	congratulated2	The actress being congratulated by the director talked to the media happily .
prime	prog_rrc	NA	congratulated	3	congratulated3	The governor being congratulated by the president made a public-statement .
target	rrc	prog_rrc	congratulated	4	congratulated4	The valedictorian congratulated
prime	urc	NA	encouraged	1	encouraged1	The gymnast who was encouraged by the coach participated in the contest .
prime	urc	NA	encouraged	2	encouraged2	The musician who was encouraged by the crowd performed a breathtaking piece .
prime	urc	NA	encouraged	3	encouraged3	The teacher who was encouraged by her students brought some donuts .
target	rrc	urc	encouraged	4	encouraged4	The hairdresser encouraged
prime	amv	NA	identified	1	identified1	The thief identified the victim and ran-away in-fear .
prime	amv	NA	identified	2	identified2	The warden identified the prisoner and cracked the walnuts enthusiastically .
prime	amv	NA	identified	3	identified3	The student identified the researcher and proposed an interesting project .
target	rrc	amv	identified	4	identified4	The electrician identified
prime	rrc	NA	admired	1	admired1	The singer admired by her fans sang beautifully .
prime	rrc	NA	admired	2	admired2	The princess admired by the magician went into a trance .
prime	rrc	NA	admired	3	admired3	The employee admired by the manager received a good evaluation .
