sent_type	struc	prime_type	verb	verb_num	sent_id	sentence	question	response
prime	amv	NA	recorded	4	recorded4	The influencer recorded her fans and started-trending rapidly .
prime	amv	NA	recorded	1	recorded1	The priest recorded the mob and preached non-violence .
prime	amv	NA	recorded	3	recorded3	The dancer recorded his trainer and practiced energetically .
target	rrc	amv	recorded	3	recorded3	The dancer recorded
prime	rrc	NA	loved	4	loved4	The janitor loved by the employees was cheerful .
prime	rrc	NA	loved	1	loved1	The landlord loved by his tenants was considerate .
prime	rrc	NA	loved	3	loved3	The kid loved by her parents slept peacefully .
target	rrc	rrc	loved	3	loved3	The kid loved
prime	rrc	NA	described	4	described4	The physicist described by the journalist published many seminal articles .
prime	rrc	NA	described	1	described1	The boy described by the lady glowed joyfully .
prime	rrc	NA	described	3	described3	The chemist described by the writer was interested .
target	rrc	rrc	described	3	described3	The chemist described
prime	prog_rrc	NA	examined	4	examined4	The patient being examined by the hygenist looked uncomfortable .
prime	prog_rrc	NA	examined	1	examined1	The defendant being examined by the lawyer was unreliable .
prime	prog_rrc	NA	examined	3	examined3	The industrialist being examined by the auditor hid the money .
target	rrc	prog_rrc	examined	3	examined3	The industrialist examined
prime	rrc	NA	envied	4	envied4	The plumber envied by the carpenter was well-known .
prime	rrc	NA	envied	1	envied1	The officer envied by the assistant quit the job .
prime	rrc	NA	envied	3	envied3	The man envied by his sister bought a new car .
target	rrc	rrc	envied	3	envied3	The man envied
prime	rrc	NA	captured	4	captured4	The prisoners captured by the colonel escaped at-night .
prime	rrc	NA	captured	1	captured1	The policeman captured by the kidnapper divulged a-lot-of information .
prime	rrc	NA	captured	3	captured3	The suspect captured by the investigator looked terrified .
target	rrc	rrc	captured	3	captured3	The suspect captured
prime	rrc	NA	scratched	4	scratched4	The diamond scratched by the machine remained flawless .
prime	rrc	NA	scratched	1	scratched1	The girl scratched by the cat enjoyed the sunny afternoon .
prime	rrc	NA	scratched	3	scratched3	The dog scratched by a stranger barked loudly .
target	rrc	rrc	scratched	3	scratched3	The dog scratched
prime	amv	NA	consoled	4	consoled4	The athlete consoled his coach and promised more effort .
prime	amv	NA	consoled	1	consoled1	The widow consoled her family and felt better eventually .
prime	amv	NA	consoled	3	consoled3	The woman consoled her daughter and smiled wistfully .
target	rrc	amv	consoled	3	consoled3	The woman consoled
prime	prog_rrc	NA	attacked	4	attacked4	The analyst being attacked by his client apologized .
prime	prog_rrc	NA	attacked	1	attacked1	The troops being attacked by the terrorists suffered some heavy losses .
prime	prog_rrc	NA	attacked	3	attacked3	The senator being attacked by the assassin went to the hospital .
target	rrc	prog_rrc	attacked	3	attacked3	The senator attacked
prime	urc	NA	paid	4	paid4	The entrepreneur who was paid by the industrialist founded a successful company .
prime	urc	NA	paid	1	paid1	The cashier who was paid by the customer muttered something inaudibly .
prime	urc	NA	paid	3	paid3	The broker who was paid by the company signed the contract .
target	rrc	urc	paid	3	paid3	The broker paid
prime	amv	NA	accompanied	4	accompanied4	The builder accompanied the architect and visited the construction-site .
prime	amv	NA	accompanied	1	accompanied1	The prince accompanied the duke and arrived at the palace .
prime	amv	NA	accompanied	3	accompanied3	The toddler accompanied her parents and went to the store .
target	rrc	amv	accompanied	3	accompanied3	The toddler accompanied
prime	prog_rrc	NA	recognized	4	recognized4	The driver being recognized by the passenger grinned cheerfully .
prime	prog_rrc	NA	recognized	1	recognized1	The man being recognized by the spy took-off down the street .
prime	prog_rrc	NA	recognized	3	recognized3	The poet being recognized by the writer smiled .
target	rrc	prog_rrc	recognized	3	recognized3	The poet recognized
prime	urc	NA	chased	4	chased4	The dentist who was chased by her son threatened his teeth-extraction playfully .
prime	urc	NA	chased	1	chased1	The dog who was chased by the boy played-with the ball .
prime	urc	NA	chased	3	chased3	The thief who was chased by the officer stopped suddenly .
target	rrc	urc	chased	3	chased3	The thief chased
prime	amv	NA	studied	4	studied4	The scholars studied the psychologist and were attentive .
prime	amv	NA	studied	1	studied1	The soldier studied the general and fought valiantly .
prime	amv	NA	studied	3	studied3	The apprentice studied the blacksmith and forged a shield .
target	rrc	amv	studied	3	studied3	The apprentice studied
prime	amv	NA	betrayed	4	betrayed4	The executive betrayed her accountant and committed the famous tax-fraud .
